Reporter Countries,Year,Value
Afghanistan,2014,0
Afghanistan,2015,0
Albania,2001,587
Albania,2002,1770
Albania,2003,531
Albania,2004,626
Albania,2005,656
Albania,2006,145
Albania,2007,2309
Albania,2008,3290
Albania,2009,1826
Albania,2010,3446
Albania,2011,2764
Albania,2012,3616
Albania,2013,831
Albania,2015,1349
Albania,2016,1078
Albania,2017,1331
Albania,2018,347
Algeria,1992,10
Algeria,1996,1
Algeria,1998,7
Algeria,2002,1
Algeria,2003,0
Algeria,2004,0
Algeria,2005,1
Algeria,2006,3
Algeria,2007,4
Algeria,2017,123
Algeria,2018,39
Antigua and Barbuda,2011,0
Antigua and Barbuda,2012,10
Antigua and Barbuda,2013,3
Antigua and Barbuda,2014,0
Argentina,1986,65
Argentina,1987,38
Argentina,1989,47
Argentina,1990,651
Argentina,1991,649
Argentina,1992,179
Argentina,1993,122
Argentina,1994,129
Argentina,1995,245
Argentina,1996,372
Argentina,1997,1255
Argentina,1998,1017
Argentina,1999,210
Argentina,2000,178
Argentina,2001,530
Argentina,2002,485
Argentina,2003,810
Argentina,2004,3502
Argentina,2005,5633
Argentina,2006,5138
Argentina,2007,5103
Argentina,2008,4592
Argentina,2009,3808
Argentina,2010,3868
Argentina,2011,5472
Argentina,2012,4323
Argentina,2013,2689
Argentina,2014,3777
Argentina,2015,4424
Argentina,2016,3037
Argentina,2017,2499
Argentina,2018,509
Armenia,2000,154
Armenia,2001,695
Armenia,2002,781
Armenia,2003,1197
Armenia,2004,2703
Armenia,2005,699
Armenia,2006,504
Armenia,2007,135
Armenia,2008,171
Armenia,2009,240
Armenia,2010,155
Armenia,2012,2
Aruba,2009,0
Aruba,2010,0
Aruba,2011,0
Aruba,2014,0
Aruba,2015,0
Australia,1986,3684
Australia,1987,2209
Australia,1988,1840
Australia,1989,1085
Australia,1990,335
Australia,1991,546
Australia,1992,451
Australia,1993,179
Australia,1994,476
Australia,1995,669
Australia,1996,1251
Australia,1997,1031
Australia,1998,1258
Australia,1999,1458
Australia,2000,818
Australia,2001,867
Australia,2002,1011
Australia,2003,834
Australia,2004,1599
Australia,2005,551
Australia,2006,496
Australia,2007,320
Australia,2008,410
Australia,2009,566
Australia,2010,284
Australia,2011,754
Australia,2012,892
Australia,2013,653
Australia,2014,242
Australia,2015,566
Australia,2016,635
Australia,2017,2082
Australia,2018,2216
Austria,1986,104
Austria,1987,68
Austria,1988,57
Austria,1989,44
Austria,1990,40
Austria,1991,170
Austria,1992,261
Austria,1993,109
Austria,1994,310
Austria,1995,607
Austria,1996,2034
Austria,1997,3795
Austria,1998,4199
Austria,1999,2897
Austria,2000,2180
Austria,2001,3536
Austria,2002,3128
Austria,2003,7710
Austria,2004,6108
Austria,2005,5031
Austria,2006,5423
Austria,2007,7641
Austria,2008,7669
Austria,2009,7801
Austria,2010,8840
Austria,2011,11049
