Country,Severe Wasting,Wasting in %,Overweight,Stunting,Underweight,Total
AFGHANISTAN,3.033333333333333,10.35,5.125,47.77500000000001,30.375,48.88333333333333
ALBANIA,4.075,7.76,20.8,24.16,7.7,40.33500000000001
ALGERIA,2.733333333333333,5.942857142857143,12.833333333333336,19.571428571428573,7.3428571428571425,28.852380952380955
ANGOLA,2.4,6.933333333333333,2.55,42.63333333333333,23.600000000000005,35.483333333333334
ARGENTINA,0.2,2.1500000000000004,11.125,10.025,2.6,16.075000000000003
ARMENIA,1.6,3.94,13.62,16.119999999999994,3.4800000000000004,22.64
AUSTRALIA,0.0,0.0,13.875,1.0,0.1,13.975
AZERBAIJAN,2.575,5.433333333333334,9.183333333333334,21.816666666666666,8.083333333333334,25.275
BAHRAIN,,6.699999999999998,7.5,13.75,6.949999999999998,
BANGLADESH,2.8136363636363644,14.5375,0.9625000000000002,54.22916666666666,46.26666666666666,64.58030303030301
BARBADOS,2.0,6.8,12.2,7.7,3.5,24.5
BELARUS,0.6,2.2,9.7,4.5,1.3,13.8
BELIZE,0.8333333333333334,2.333333333333333,9.6,18.766666666666666,5.300000000000002,18.066666666666666
BENIN,2.425,7.7,2.275,35.375,20.125,32.525
BHUTAN,1.4,4.525,5.1,44.25,17.8,28.825000000000003
BOLIVIA (PLURINATIONAL STATE OF),0.7000000000000001,1.9,8.6,29.728571428571424,7.472727272727273,18.672727272727272
BOSNIA AND HERZEGOVINA,2.2,4.566666666666666,19.8,10.933333333333332,2.466666666666667,29.03333333333333
BOTSWANA,2.85,8.8,10.05,31.03333333333333,12.666666666666664,34.36666666666667
BRAZIL,0.7,2.3,6.25,13.133333333333333,3.925,13.175
BRUNEI DARUSSALAM,0.4,2.9,8.3,19.7,9.6,21.200000000000003
BULGARIA,1.5333333333333332,4.666666666666667,9.0,7.466666666666666,2.0,17.2
BURKINA FASO,4.1692307692307695,12.730769230769232,2.2500000000000004,33.346153846153854,25.076923076923073,44.22692307692307
BURUNDI,1.2600000000000002,6.666666666666668,1.775,57.6,32.25,41.95166666666667
CABO VERDE,,5.550000000000002,,24.1,12.75,
CAMBODIA,3.483333333333334,11.466666666666667,3.033333333333333,43.68333333333333,31.98333333333333,49.96666666666667
CAMEROON,1.8142857142857145,5.671428571428571,8.042857142857143,33.74285714285714,14.685714285714285,30.214285714285715
CANADA,,,10.4,,,
CENTRAL AFRICAN REPUBLIC (THE),3.16,8.766666666666667,5.380000000000001,41.78333333333333,23.36666666666667,40.67333333333334
CHAD,5.5,15.239999999999998,3.0400000000000005,41.26000000000001,31.4,55.17999999999999
CHILE,,0.4666666666666667,11.313333333333334,3.453333333333333,0.7466666666666666,
CHINA,0.9199999999999996,3.1749999999999994,7.027272727272727,20.6,7.900000000000001,19.02227272727273
COLOMBIA,0.3666666666666667,1.657142857142857,4.783333333333333,18.214285714285715,5.8571428571428585,12.664285714285715
COMOROS (THE),5.4,10.125,12.466666666666667,39.125,19.575,47.56666666666666
CONGO (THE),2.4333333333333336,7.2,4.875,26.725,13.099999999999998,27.60833333333333
COSTA RICA,,1.7,8.8,6.9,2.2375000000000003,
COTE D'IVOIRE,2.6,8.8,4.3,31.385714285714283,17.67142857142857,33.37142857142857
CUBA,,2.4,,7.0,3.4,
CZECHIA,1.0,3.7,5.550000000000002,2.9000000000000004,1.5,11.750000000000002
DEMOCRATIC PEOPLE'S REP. OF KOREA (THE),1.275,8.842857142857143,1.0666666666666669,40.3,23.12857142857143,34.313095238095244
DEMOCRATIC REP. OF THE CONGO (THE),4.15,10.86,5.75,45.46,26.84,47.599999999999994
